State,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANDAMAN & NICOBAR,,2025-26,0.01,7.83,92.16,0.01,3.48,96.51,0.01,5.32,94.67,0.3,4.88,94.82,0,9.05,90.95,91.46,8.54,6.51,93.49,99.63,0.37,87.04,12.96,96.47,3.53,96.08,3.92,99.99,0.01
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58
ARUNACHAL PRADESH,,2025-26,16.95,73.84,9.21,27.8,64.62,7.59,12.04,65.07,22.88,44.14,44.6,11.26,0.08,51.81,48.11,95.26,4.74,84.61,15.39,89.47,10.53,94.07,5.93,94.49,5.51,76.35,23.65,85.55,14.45
ASSAM,,2025-26,51,48.53,0.48,68.78,23.17,8.04,7.42,40.71,51.87,58.03,15.63,26.34,0,51.15,48.85,99.99,0.01,95.77,4.23,96.81,3.19,64.42,35.58,97.01,2.99,36.81,63.19,87.79,12.21
BIHAR,,2025-26,0.96,37.56,61.48,77.52,19.29,3.2,18.16,75.31,6.53,11.53,52.56,35.91,1.24,2.56,96.2,98.93,1.07,79.08,20.92,91.64,8.36,77.41,22.59,99.05,0.95,60.4,39.6,95.69,4.31
CHHATTISGARH,,2025-26,0.6,17.81,81.58,6.71,64.84,28.45,38.57,55.32,6.1,14.6,39.54,45.86,0.05,11.36,88.58,99.6,0.4,66.81,33.19,93.22,6.78,59.78,40.22,98.41,1.59,75.62,24.38,98.85,1.15
GOA,,2025-26,20.59,37.37,42.04,35.91,24.01,40.08,44.63,42.36,13.01,67.4,16.97,15.63,0,42.44,57.56,89.45,10.55,38.35,61.65,96.86,3.14,64.61,35.39,95.01,4.99,47.14,52.86,94.21,5.79
GUJARAT,,2025-26,0.93,21.24,77.84,66.67,27.75,5.58,54.46,38.36,7.18,33.02,33.83,33.15,4.28,0.26,95.46,77.77,22.23,81.89,18.11,71.22,28.78,70.11,29.89,96.35,3.65,42.75,57.25,91.12,8.88
HARYANA,,2025-26,0,0,100,20.72,44.44,34.84,19.4,55.25,25.35,4.19,18.05,77.76,1.96,0.05,97.99,92.32,7.68,95.54,4.46,67.17,32.83,77.39,22.61,95.84,4.16,36.89,63.11,74.91,25.09
HIMACHAL PRADESH,,2025-26,1.42,49.82,48.77,30.58,59.72,9.71,39.68,50.44,9.89,75.28,17.54,7.18,0.06,0.7,99.24,99.9,0.1,75.25,24.75,89.36,10.64,92.95,7.05,96.78,3.22,98.38,1.62,74.35,25.65
JAMMU & KASHMIR,,2025-26,15.31,61.08,23.61,40.93,53.35,5.72,24.16,67.37,8.48,60.14,23.99,15.87,0.75,3.53,95.72,97.52,2.48,82.99,17.01,67.43,32.57,70.89,29.11,92.51,7.49,77.18,22.82,83.04,16.96
JHARKHAND,,2025-26,0.56,64.24,35.19,19.05,66.11,14.84,5.39,81.97,12.64,20.39,52.63,26.98,0.23,37.35,62.42,99.76,0.24,81.4,18.6,98.58,1.42,87.64,12.36,98.67,1.33,65.01,34.99,97.93,2.07
KARNATAKA,,2025-26,4.46,35.59,59.95,59.18,33.4,7.41,44.5,43.51,11.98,24.08,33.99,41.93,3.89,6.01,90.09,94.22,5.78,65.32,34.68,44.63,55.37,42.78,57.22,93.86,6.14,43.65,56.35,83.86,16.14
KERALA,,2025-26,0,0,100,70.68,17.83,11.48,28.05,47.52,24.43,51.48,21.23,27.29,0.03,21.62,78.35,99.35,0.65,52.63,47.37,98.85,1.15,96.2,3.8,99.32,0.68,52.87,47.13,97.45,2.55
LADAKH,,2025-26,0,0,0,71.33,24.44,4.22,72.44,26.67,0.89,98.89,0.44,0.67,0.22,0,99.78,99.33,0.67,0,0,92.89,7.11,93.56,6.44,100,0,0,0,84.67,15.33
MADHYA PRADESH,,2025-26,0.53,28.38,71.08,22.36,70.59,7.05,28.46,67.63,3.91,22.83,39.74,37.43,0.77,1.79,97.44,93.53,6.47,78.29,21.71,75.89,24.11,52.07,47.93,89.52,10.48,67.48,32.52,86.72,13.28
MAHARASHTRA,,2025-26,0.56,11.77,87.66,18.42,62.12,19.46,66.06,31.12,2.82,19.31,26.32,54.37,3.19,3.89,92.93,98.64,1.36,53.35,46.65,50.18,49.82,50.97,49.03,98.21,1.79,52.38,47.62,90.78,9.22
MANIPUR,,2025-26,0,66.67,33.33,0,100,0,66.67,0,33.33,0,100,0,0,33.33,66.67,100,0,100,0,100,0,66.67,33.33,100,0,100,0,100,0
MEGHALAYA,,2025-26,0.02,64.23,35.75,12.86,32.61,54.53,8.31,72.85,18.85,83.69,13.9,2.41,0,65.74,34.26,99.96,0.04,31.63,68.37,87.88,12.12,46.71,53.29,98.86,1.14,62.51,37.49,91.98,8.02
MIZORAM,,2025-26,0.05,14.01,85.94,2.64,93.57,3.79,12.87,44.36,42.76,97.89,1.43,0.67,0,44.52,55.48,21.32,78.68,100,0,0,0,0,0,100,0,100,0,0,0
NAGALAND,,2025-26,9.84,53.71,36.45,27.31,45.43,27.25,18.76,57.36,23.88,64.12,19.25,16.63,0.01,68.32,31.68,88.82,11.18,50.74,49.26,81.7,18.3,82.13,17.87,89.85,10.15,78.74,21.26,81.39,18.61
ODISHA,,2025-26,1.48,31.79,66.73,29.78,47.14,23.09,18.14,66.35,15.52,12.51,35.64,51.85,0.18,28.97,70.85,99.67,0.33,63.21,36.79,87.3,12.7,57.65,42.35,88.95,11.05,39.76,60.24,87.27,12.73
PUDUCHERRY,,2025-26,0.17,0.5,99.33,57.67,24.67,17.67,24.5,56.33,19.17,49.33,19.33,31.33,16.33,0,83.67,96,4,0,0,85.17,14.83,99.33,0.67,100,0,100,0,99.83,0.17
PUNJAB,,2025-26,0.09,12.85,87.06,25.6,33.29,41.1,14.23,34.77,51,14.97,39.37,45.66,9.64,1.76,88.6,95.1,4.9,87.95,12.05,81.94,18.06,82.44,17.56,95.29,4.71,60.18,39.82,47.19,52.81
RAJASTHAN,,2025-26,0.03,0.15,99.82,58.09,36.3,5.62,47.48,51.28,1.24,3.12,11.38,85.49,14.79,0.09,85.12,93.42,6.58,90.19,9.81,43.16,56.84,42.6,57.4,94.92,5.08,79.67,20.33,91.14,8.86
SIKKIM,,2025-26,1.22,63.25,35.52,71.7,26.62,1.68,25.36,65.36,9.28,22.44,46.39,31.16,0.05,42.5,57.45,98.86,1.14,92.09,7.91,86.92,13.08,97.11,2.89,98.93,1.07,81.78,18.22,90.75,9.25
TAMIL NADU,,2025-26,0.04,1.02,98.94,31.14,44.38,24.48,47.55,42,10.46,3.15,11.6,85.25,3.6,3.11,93.29,98.68,1.32,59.13,40.87,57.48,42.52,59.01,40.99,97.67,2.33,50.54,49.46,69.64,30.36
TELANGANA,,2025-26,0.35,11.91,87.74,82.74,11.43,5.83,51.34,41.16,7.5,12.79,41.25,45.96,1.41,0.92,97.66,98.5,1.5,74.74,25.26,42.18,57.82,52.71,47.29,77.65,22.35,51.9,48.1,62.06,37.94
TRIPURA,,2025-26,0.16,48.36,51.48,1.77,55.65,42.58,0.52,82.07,17.41,32.39,28.6,39.01,0.01,89.44,10.56,99.97,0.03,85.24,14.76,99.11,0.89,58.52,41.48,99.64,0.36,80.47,19.53,99.28,0.72
UTTAR PRADESH,,2025-26,0.07,5.1,94.83,20.11,60.99,18.91,9.48,79.91,10.62,1.2,14.28,84.52,0.71,0.09,99.2,98.07,1.93,66.54,33.46,73.79,26.21,63.59,36.41,95.41,4.59,70.57,29.43,90.35,9.65
UTTARAKHAND,,2025-26,1.65,17.04,81.31,43.97,45.65,10.38,22.69,56.26,21.05,58.01,25.29,16.7,0.04,2.09,97.88,96.53,3.47,74.17,25.83,87.14,12.86,84.64,15.36,97.42,2.58,84.07,15.93,86.7,13.3
WEST BENGAL,,2025-26,4.27,54.99,40.74,65.19,27.01,7.8,32.23,54.65,13.12,25.69,46.86,27.45,0.12,27.39,72.49,94.48,5.52,63,37,99.32,0.68,76.28,23.72,99,1,31.02,68.98,93.13,6.87